property_id,property_name,host_id,neighbourhood_group,room_type,price,min_nights
19763101,Beautiful artist's apartment at Winterfeldmarkt,23004433,Tempelhof - Schöneberg,Entire home/apt,90,2
19763241,Typischer Altbaucharme im schönen Graefekiez,139470345,Friedrichshain-Kreuzberg,Entire home/apt,41,3
19763321,**nice little place with roommate and cat**,131410199,Mitte,Private room,20,2
19763433,Spacious and bright room in the heart of Berlin,14574668,Friedrichshain-Kreuzberg,Private room,45,2
19764616,"2 Beautiful Rooms,View(Sunsets),Central,Moabit",26838383,Mitte,Entire home/apt,28,7
19765058,Beautiful studio in the center of Kreuzberg,58546768,Mitte,Private room,55,7
19765177,Lovely flat in Prenzlauer Berg,4380458,Pankow,Private room,50,4
19766315,!Central Berlin: Private bath and 100 % privacy!,10628996,Friedrichshain-Kreuzberg,Private room,89,2
19770244,Spacious room with private bathroom and balcony,22830891,Friedrichshain-Kreuzberg,Private room,75,1
19771325,Great apartment available in Friedrichshain,33642189,Friedrichshain-Kreuzberg,Entire home/apt,45,7
19771765,Berlin at its best,47973594,Pankow,Private room,30,2
19772763,Sommer in Kreuzberg!,139580852,Friedrichshain-Kreuzberg,Entire home/apt,44,2
19773486,Universe room,15580872,Pankow,Private room,19,4
19773679,3 Zimmer Prenzlauer Berg Zentrum mit Balkon,10112027,Pankow,Entire home/apt,87,8
19774331,"Storchennest 
Cosy Apartment
Neukölln/Kiehlufer",25000630,Neukölln,Entire home/apt,43,5
19774734,Charlottenbg:Zimmer fussläufig zu Messe & CityCube,76069504,Charlottenburg-Wilm.,Private room,69,2
19775965,Cosy studio apartment in kreuzberg,30296395,Friedrichshain-Kreuzberg,Entire home/apt,65,2
19776135,The Top Floor -Loft - Room b. Near Potsdamer Platz,138204831,Tempelhof - Schöneberg,Private room,70,1
19776534,Cozy living in a refurbished carriage house,10330359,Lichtenberg,Entire home/apt,69,2
19777545,Quiet and cozy apartment for families,68120677,Lichtenberg,Entire home/apt,85,4
19778418,"Central, Calm Private Room with Balcony",6309551,Mitte,Private room,31,150
19778438,Bright and cosy room in Prenzlauer Berg,136787579,Pankow,Private room,40,3
19779187,"25 qm room in Prenzlauer Berg, with garden",9548216,Pankow,Private room,48,2
19780285,Lovely room in the heart of West Berlin,43079525,Charlottenburg-Wilm.,Private room,31,2
19781221,Individuelle Dach-Whg f. Familie in Berlin-Mitte,2371986,Mitte,Entire home/apt,180,3
19781919,Kreuzberg | Görlitzer Park | Wrangelkiez,139660630,Friedrichshain-Kreuzberg,Entire home/apt,80,3
19785287,Buntes Zimmer in Berlin,23585423,Neukölln,Private room,30,2
19787898,Riverside studio with a balcony in Friedrichshain,1518361,Friedrichshain-Kreuzberg,Entire home/apt,60,4
19794276,Idyllisches Haus mitten in Berlin,63951654,Lichtenberg,Entire home/apt,199,3
19795072,Zimmer zu vermieten.,139795345,Pankow,Private room,25,3
19795421,Fully Equipped&Comfortable room in heart of Berlin,11505526,Lichtenberg,Private room,53,2
19796068,Big sunny top floor apartment in Neukölln,40518674,Neukölln,Entire home/apt,90,3
19796395,Penthouse with amazing view of Berlin,61783281,Pankow,Entire home/apt,150,2
19796896,"Zimmer mit Nähe zum Ku'damm;
Room near the Ku'damm",139815709,Charlottenburg-Wilm.,Private room,24,2
19799771,cosy room in central Berlin Wedding,139491466,Mitte,Private room,30,4
19800372,"Big, nice flatroom in the middle of Kreuzberg :)",49606224,Friedrichshain-Kreuzberg,Private room,40,1
19802185,"Berlin Westend nahe Messe, Waldbühne, Olympiapark",44225331,Charlottenburg-Wilm.,Private room,28,2
19803075,Best in Berlin,139165461,Friedrichshain-Kreuzberg,Private room,35,2
19804597,Quiet room with great connection!,139266357,Charlottenburg-Wilm.,Private room,24,1
19805124,"Zentrale, gemütliche Wohnung in Mitte",129041124,Mitte,Entire home/apt,55,10
19806003,Helles Apartment in Neukölln,16803915,Neukölln,Entire home/apt,35,7
19806513,Bright and cozy private room in exciting area.,11683687,Friedrichshain-Kreuzberg,Private room,45,2
19806957,V32 - 2 Zimmer,112104756,Pankow,Entire home/apt,96,90
19806978,Sweet rooms on the canal!,5889788,Neukölln,Private room,50,2
19813655,2-Room-Souterrain-Apartment near Bergmannstraße,115790786,Friedrichshain-Kreuzberg,Entire home/apt,90,2
19813679,Central located Appartment - family friendly,139976274,Friedrichshain-Kreuzberg,Entire home/apt,130,3
19814355,Süße Wohnung im Herzen von Friedrichshain,1112419,Friedrichshain-Kreuzberg,Private room,45,2
19816696,TYPICAL BERLIN - big cosy ROOM/balcony in Steglitz,70198123,Steglitz - Zehlendorf,Private room,33,2
19816717,3 rooms flat in Kreuzberg,139165461,Friedrichshain-Kreuzberg,Entire home/apt,110,2
19817644,Spacious Central Apartment with iconic Berlin view,4331505,Pankow,Entire home/apt,158,3
19818651,Quiet & cozy near East Side Gallery Berlin ST,125856413,Friedrichshain-Kreuzberg,Private room,95,1
19819023,Urban Jungle in Prenzlauer Berg | Rustic-Chic Loft,12360,Pankow,Entire home/apt,54,90
19819711,4 Gartenzimmer,30518151,Charlottenburg-Wilm.,Private room,40,3
19820247,High Standard Room with private bathroom in Mitte,25175309,Mitte,Private room,90,6
19820475,"cozy heartful room, Prenzlauer Berg, Berlin",50813519,Pankow,Private room,20,1
19821154,Sunny Altbau apartment with a view,140044723,Tempelhof - Schöneberg,Entire home/apt,100,3
19821886,Lovely appartement in Berlin Friedrichshain,140052301,Friedrichshain-Kreuzberg,Entire home/apt,60,2
19823709,getaway in Neukölln,11816571,Neukölln,Private room,35,1
19824259,Large bright room with a balcony!,36956627,Lichtenberg,Private room,32,2
19824952,Sonnenverwöhntes Penthouse - perfekt für Familien,5688877,Pankow,Entire home/apt,140,3
19825141,bright + cosy apartement in best neighborhood,6747871,Friedrichshain-Kreuzberg,Private room,50,10
19825802,Beautiful central Altbau apartment,98962298,Mitte,Entire home/apt,50,6
19826439,room for you - at the puls of Berlin,45465596,Neukölln,Shared room,60,2
19827109,Multipler Co-Writing Space + Übernachtung 1 Person,31217613,Mitte,Shared room,180,1
19827737,in the middle of kreuzkölln,140110384,Neukölln,Entire home/apt,30,4
19831872,Cosy room in Kreuzberg home,22830891,Friedrichshain-Kreuzberg,Private room,59,1
19833508,Living on the Kanal!!,123066968,Treptow - Köpenick,Entire home/apt,33,181
19833646,Ruhiger Altbau in der City-West,38943658,Charlottenburg-Wilm.,Entire home/apt,42,2
19835088,Bright and Cosy Room in heart of Berlin,13478659,Mitte,Private room,50,4
19835708,Große Wohnung im grünen Wedding,10567068,Mitte,Entire home/apt,50,1
19836753,Cozy flat in Berlin's trendy Neukölln area,26834655,Neukölln,Entire home/apt,75,3
19838591,"Sunny room near Potsdamer Platz, city centre",17126184,Tempelhof - Schöneberg,Private room,45,2
19840403,Sunny room & balcony in the hippest spot Neukölln,3075994,Neukölln,Private room,60,2
19841830,Live-in with Hans and Anton,68930212,Friedrichshain-Kreuzberg,Private room,35,2
19842924,"Private, small and cosy apartment",86120115,Pankow,Entire home/apt,23,3
19843082,Cozy room in the heart of Neukölln,99925262,Neukölln,Private room,20,7
